blog,category
"The Domestic Nuclear Detection Office (DNDO) plays an important role in the field of nuclear forensics.  In addition to advancing technical capabilities and supporting expertise development, DNDO coordinates with other partners to exercise the U.S. government’s ability to collect nuclear debris samples in the event of a detonation and transport them to laboratories for analysis.

One such exercise took place this fall.  The exercise, Prominent Hunt 16-2B, was conducted in Tampa, Florida, using the Hillsborough County Sheriff’s Office Walter C. Heinrich Training Center as the exercise venue.

Working in close coordination with Florida state and local agencies, DNDO and its federal partners conducted the exercise against the backdrop of a simulated detonation of a terrorist nuclear device.  The National Technical Nuclear Forensics Ground Collection Task Force, which includes members from the Department of Defense (DoD), Department of Energy’s National Nuclear Security Administration (DOE/NNSA), and the Federal Bureau of Investigation, deployed to the site of this mock detonation to practice collecting nuclear debris.

As in a real nuclear event, our federal, state and local partners deployed planes and helicopters with aerial radiation detection and mapping equipment in support of the Task Force. This equipment can determine radiation levels and assist in the collection of optimal evidence samples, while ensuring the safety of the Task Force and other responders.  Nuclear debris collected after a detonation can be analyzed using nuclear forensics techniques to help determine those responsible for the attack.

Exercises such as Prominent Hunt help support DNDO’s mission to ensure the nation’s nuclear forensics capabilities are prepared to respond to nuclear threats.",tsa
"An Orlando nightclub. A Wisconsin shopping mall. A San Bernardino, Calif., public meeting room. Crowds cheering Boston Marathon runners, or people walking along New York City sidewalks.

In just a few seconds, these became horrific scenes when terrorists used knives, guns and bombs to attack the most unsuspecting Americans, leaving many to ask: “What can I do?”

“Take a class” sounds like a trite reply, but our training has been credited with saving lives.

November is Critical Infrastructure Security and Resilience Month, and I want to take a moment to highlight some of the efforts our Office of Infrastructure Protection has taken to educate and train employees of small and medium size businesses, faith-based organizations, and other venues that attract large groups of people as part of the Hometown Security initiative. DHS provides information, tools, training and resources, including training for active shooter attacks, bomb threat awareness, how to identify and report suspicious activity, and more.

It has never been easier to learn online how to identify and report suspicious behavior, what homemade bomb parts look like, or how to “run, hide, or fight” in an active shooter situation.

While we cannot prevent every attack, we do know that training can save lives. A recent Department of Justice critical incident review of the 2015 active shooter attack in San Bernardino cited active shooter training as a key reason some people survived the attack. Many recognized the active shooter situation immediately and knew to run and hide. Another example is the 2013 Boston Marathon. Hailey Harris of Cambridge, Mass., who survived the second bomb blast, credits DHS bomb prevention training with saving her life. She said she knew from the training to stay sheltered in the event of a second bomb near the first. The second bomb exploded nearby as she stayed sheltered in a restaurant encouraging others to do stay put.

I encourage all business owners to take our online training and reach out to one of our more than 100 DHS Protective Security Advisors (PSAs) across the country for more help. Respected members of the local homeland security community, PSAs help connect people with training, planning, risk assessments and other resilience activities.

At the end of the day, while we cannot eliminate all of the threats we face, we can improve our chances of surviving with training and practice.",tsa
"Food Service Specialist 2nd Class (FS2) Cheyenne Wolfe, a line chef in the Executive Dining Facility  (EDF) at DHS’s Nebraska Avenue Complex headquarters, volunteered earlier this month to represent the U.S. Coast Guard (USCG) at the “Fabulous Food Show” in Cleveland, Ohio. Wolfe and fellow USCG guardsmen were on-hand to entice show attendees with their culinary expertise, as well as add potential new recruits to the USCG’s Food Services ranks.

“It was a wonderful opportunity to show what we as chefs in the Coast Guard can do, and how guardsmen can follow their career dreams while serving their nation,” Wolfe said.

USCG FS2 Cheyenne Wolfe (right), FS2 Amanda Harris (left), and FS1 Mason Champlin cook up a banquet at the “Fabulous Food Show” in Cleveland, Ohio. olunteered to represent the U.S. Coast Guard at this culinary delight.  (Photo courtesy of FS2 Cheyenne Wolfe) 



A recent convert to the culinary world, Wolfe and other USCG volunteers performed a live food demonstration and had culinary samplings available to show attendees at the USCG information and recruiting booth. At the demonstration, Wolfe and her USCG culinary compatriots prepared herb injected Sous-vide turkey breast, apple cider cranberry sauce, and apple, sage, and leek bread pudding in homage to the approaching Thanksgiving holiday. At the booth, Wolfe and her USCG culinary colleagues provided samplings of such delicacies as braised turkey leg tacos with cranberry relish, sautéed Cajun shrimp on parmesan grit cakes, and glazed apple fritters with honey apple compote. “Good food works much better than free pens when trying to get people to visit your booth,” she said with a chuckle. After being a firefighter for a year on an 87’ patrol boat, Wolfe joined the USCG in 2013 and, with no culinary experience, decided to cook the following year. After completing Food Service Specialist school, Wolfe joined the USCG Cutter Healy where she attended shipboard baking school. She acquired advanced culinary training skills at Fort Lee, applied for a food service spot and was accepted at the EDF where she’s been a line chef under Head Chef Kevin Saiyasak since July. The ""Fabulous Food Show"" is one of the nation’s largest presentations of fine food, fine art, craft breweries, wineries, restaurants and purveyors all under one roof, with live demonstrations by world-renowned celebrity chefs and culinary professionals. It’s estimated more than 30,000 epicureans of all kinds attend, including over 1,500 high school and college culinary students from across the nation. USCG FS2 Cheyenne Wolfe takes time from her busy schedule to enjoy the displays and cooking equipment located at the show. (Photo courtesy of FS2 Cheyenne Wolfe).",tsa
"The U.S. Department of Homeland Security (DHS) in coordination with The University of Illinois at Chicago (UIC) has concluded the third National Seminar & Tabletop Exercise for Institutions of Higher Education (NTTX).

The NTTX is a series of campus-based events to test and promote campus resilience and emergency preparedness. The series brings together higher education leaders, as well as federal, state and local government representatives to participate in workshops and work through a designed hypothetical emergency scenario. Nearly 375 leaders representing various campus functions from more than 90 institutions of higher education from across the country attended the exercise.

Photo by Adriana Solis Martinez, MA / The University of Illinois at Chicago

The 2016 event at UIC focused on campus violence, including active shooter scenarios and other threats that specifically impact the higher education community. Participants gained insight into planning, preparedness and best practices for overall resilience in the academic community when faced with campus violence. Attendees participated in workshop sessions, as well as a tabletop exercise that included participant role play in response to a simulated act of violence on a campus.

Photo by Adriana Solis Martinez, MA / The University of Illinois at Chicago

With support from our Federal Emergency Management Agency partners, UIC, the 2016 planning team and all participants, the 2016 NTTX was a great success, serving as a unique planning tool for partners in academia to ensure community safety and security in their communities. As we move into the planning stages for the 2017 event, we will be engaging the higher education community to submit their nominations for potential host sites and event themes for consideration for next year’s event.

Visit the NTTX page to learn more, or contact the Office of Academic Engagement at AcademicEngagement@hq.dhs.gov.",tsa
"When someone goes missing, the first few minutes and hours of the search are critical. A key to the success of search and rescue (SAR) teams is an aggressive, well-planned initial response. However, many times, first responders on scene in a missing person search don’t have the extensive training and development of initial search plans that specialized SAR teams have.

The Department of Homeland Security Science and Technology Directorate (S&T) First Responders Group recently released a mobile app, developed with the support of SAR teams around the nation, that provides step-by-step instructions on search plans for first responders and response teams. It provides search guidance, protocols and strategies used by SAR teams around the nation.

The Lost Person Behavior mobile app was released this spring and is available to download (for a fee) from Apple iTunes, Google Play and Amazon.com. Since its release, the app has received two-five star reviews from the APCO International Application Community and has been used in actual SAR operations in Virginia.

Using data from over 150,000 missing person cases across the country, the app provides guidance, tactical briefings, investigative questions, and statistics for over 40 different scenarios. These include lost hikers, hunters, children, missing vehicles, despondent individuals, dementia patients, and climbers. It also provides guidance for snow and water incidents.

“The Lost Person Behavior app is designed to provide a step-by-step checklist for first responders as well as everyday citizens involved in search and rescue efforts,” said program manager Christine Lee. “The app incorporated the feedback from SAR teams across the country for the development a comprehensive set of data, such as what questions to ask and what resources to use. It provides the knowledge obtained from experienced SAR teams into the hands of someone who may never have had any training at all.”

The app identifies high probability areas where an individual goes missing so searchers can initiate rapid response. It also breaks down the categories of lost people with related behavior profiles and provides a checklist of questions to ask friends and family of missing individuals. Using this data, the app uses the data to provide initial search locations and has filters for ecoregion and terrain.

The Lost Person Behavior app was developed under SBIR initiatives by dbs Productions, Charlottesville, Virginia.",tsa
"Secretary of State Rex Tillerson delivers opening remarks at the Conference on Prosperity and Security in Central America, at Florida International University, in Miami.  Video courtesy of the U.S. Department of State.

Secretary of State Rex Tillerson meets with senior leaders at the Conference on Prosperity and security in Central America, at Florida International University.  Video courtesy of the U.S. Department of State.

Conference on Prosperity and Security in Central America luncheon program featuring introductory remarks by Secretary of State Rex Tillerson and keynote remarks by Vice President Mike Pence in Miami Florida.  Video courtesy of the U.S. Department of State.

Secretary of State Rex Tillerson delivers opening remarks at the Conference on Prosperity and Security in Central America, at Florida International University, in Miami, FL.  Video courtesy of the U.S. Department of State.

Vice President Mike Pence, Secretary of State Rex Tillerson, and Secretary of Homeland Security John Kelly pose for a family photo at the Conference on Prosperity and Security in Central America event at Florida International University in Miami, Florida.  Video courtesy of the U.S. Department of State.",tsa
"News conference with Hon. John Kelly, Secretary of U.S. Department of Homeland Security and Hon. Miguel Osorio Chong, Secretary of the Interior, Mexico, at the Conference on Prosperity and Security in Central America, Friday, June 16, 2017, Miami, Florida.  Video courtesy of U.S. Southern Command.

Secretary of Homeland Security John Kelly's opening remarks from the Conference on Prosperity and Security in Central America, Miami, Florida, June 16, 2017.  Video courtesy of U.S. Southern Command.

Secretary of Homeland Security John Kelly's opening remarks in Spanish (VO) during the Conference on Prosperity and Security in Central America, Miami, Florida, June 16, 2017.  Video courtesy of U.S. Southern Command.

B-roll of participants at the Conference on Prosperity and Security in Central America, Miami, Florida, June 16, 2017.  Video courtesy of U.S. Southern Command.

Arrival of participants at the Conference on Prosperity and Security in Central America, Miami, Florida, June 16, 2017.  Video courtesy of U.S. Southern Command.",tsa
"The Homeland Security Academic Advisory Council (HSAAC) met in Washington D.C. on June 5, for the 12th time in its history. The HSAAC advises the Department of Homeland Security (DHS) leadership on matters of homeland security specifically related to the academic community. The Department’s continued commitment to the higher education community highlights the important work being done on college campuses across the country in defense of our nation.

During the meeting, the HSAAC Academic Subcommittee on Countering Violent Extremism presented its report to the Council. The report offered several recommendations, developed jointly by academic leaders and subject matter experts. To date, the Council has provided more than 120 recommendations to DHS across its seven subcommittees.

The Council also discussed the Campus Resilience Program and the upcoming 2017 National Seminar and Tabletop Exercise (NTTX) event. The NTTX is a two-day event at the University of Utah that will include workshop sessions, a tabletop exercise and an after-action review session on preparing participants to respond to a campus emergency. This year’s tabletop event will focus on a potential failure in campus infrastructure caused by cyber-attack. The 2016 NTTX tabletop exercise wase based on campus active shooter scenario.

The Campus Resilience Program and NTTX resulted from HSAAC recommendations to DHS. The HSAAC has been instrumental in founding several new programs, resources and initiatives across the Department.

After the meeting, Deputy Secretary for Homeland Security Elaine C. Duke met with HSAAC members for an informational session on DHS’s key priorities and challenges.

We look forward to the Council’s continued provision of strong, innovative recommendations that advance DHS’s engagement with the higher education community.",tsa
"The U.S. Department of Homeland Security (DHS) would like to hear from you about the homeland security issues that concern you and your community.

DHS is in the process of completing a major strategic review of the Department’s programs and priorities, and will deliver its finished product – the 2018 Quadrennial Homeland Security Review – to Congress in December 2017.  As part of the review, DHS is inviting members of the public to participate in the online ""My DHS Idea"" campaign.

These are some of the important missions staff of DHS perform every day:

What homeland security issues do you care about? What areas should DHS prioritize? What are the most pressing risks facing your community and the Nation as a whole?

Using the IdeaScale platform, you can post your own ideas to address the homeland security challenges that are important to you and your community, comment on other people’s ideas, and vote on the issues and approaches you think are the most important for DHS to consider.  This interactive format allows everyone on the site to see the issues that are most important to other participants, and which ideas generate the most interest and support.  The Department’s Office of Policy staff will moderate and contribute to discussions on an occasional basis, incorporating key ideas into the strategy review process as appropriate.

You can find the link to the DHS IdeaScale site at https://homelandsecurity.ideascale.com.",tsa
"US-CERT has received multiple reports of Petya ransomware infections in many countries around the world. Ransomware is a type of malicious software that infects a computer and restricts users' access to the infected machine until a ransom is paid to unlock it. Individuals and organizations are discouraged from paying the ransom, as this does not guarantee that access will be restored. Using unpatched and unsupported software may increase the risk of spreading ransomware and other cybersecurity threats.

Petya ransomware encrypts the master boot records of infected Windows computers, making affected machines unusable. Open-source reports indicate that the ransomware exploits vulnerabilities in Server Message Block (SMB). US-CERT encourages users and administrators to review the US-CERT article on the Microsoft SMBv1 Vulnerability and the Microsoft Security Bulletin MS17-010.

Please report any ransomware incidents to the Internet Crime Complaint Center (IC3) [link to https://www.ic3.gov/default.aspx].

For more information on how you can best protect against ransomware, visit US-CERT.",tsa
"Is it possible to capture hope, a feeling, or a story in six words? The idea of very short stories began in the 1900s, but has begun to take off on various social networks as people share their stories.

Join the project by writing a six-word summary of what citizenship means to you. It can be a sentence or any six words that, together, express your thoughts. You can even share photos illustrating your essays. To get you started, here are examples:

Are you up for the challenge? What are your six words? Share them in the comments below, on Twitter using #citizenship6, or as a comment on our Facebook post.

Throughout the week, we’ll retweet and share submissions on Twitter and Facebook. Afterward, we’ll pull together a collection of essays we like and share on our blog, The Beacon, and produce a slideshow for YouTube.

Everyone can participate: citizens of any country, living anywhere. Here are a few rules:

Now for a little legal language: by entering your six-word essay, you agree to all of the above, and you agree to allow us to use your essay worldwide without being compensated. We also reserve the right to not consider entries for any reason.

We look forward to seeing what you have to say!",tsa
"Underpinning each of the Department of Homeland Security’s diverse missions is a pledge to uphold the highest accountability standards to the American public. One marker of this commitment is the Department’s accurate and timely public reporting of our performance on our top priorities. We’re proud that DHS has been recognized once again for outstanding transparency.

A U.S. Government Accountability Office (GAO) report released today reviewed how six Federal agencies reported their performance on top priority goals. Of the six agencies, DHS received a rating of “outstanding,” the highest possible score. The GAO also noted that DHS was the only agency reviewed to publically publish a comprehensive set of performance measure verification data with its annual performance report.

This recognition is just DHS’s latest accolade regarding performance reporting. Thanks to tremendous teamwork and dedication by our workforce and the leadership of the Office of the Chief Financial Officer, other remarkable accomplishments include:

Every day, DHS employees across the Department work to advance our vital missions while upholding the highest standards of transparency and accountability. These recent honors confirm their efforts.

For additional information on the Department’s accountability and performance reporting, please visit DHS.gov.",tsa
